as_of,scenario,scenario_label,adjusted_net_profit_rmb_bn,core_pe,core_value_hkd_bn,kling_arr_usd_mn,kling_ps,kling_total_value_hkd_bn,kuaishou_ownership,kling_owned_value_hkd_bn,total_sotp_value_hkd_bn,shares_outstanding_bn,target_price_hkd,current_price_hkd,upside_downside_pct,source,source_date
2026-05-18T05:09:51-07:00,bear,熊市,20.6,9.0,200.23200000000003,300.0,15.0,35.1,0.75,26.325000000000003,226.55700000000002,4.22,53.68649289099527,48.68,10.284496489308271,manual_initial_assumptions,2026-05-14
2026-05-18T05:09:51-07:00,base,基准,20.6,11.0,244.72800000000004,500.0,25.0,97.5,0.85,82.875,327.60300000000007,4.22,77.63104265402846,48.68,59.47215006990234,manual_initial_assumptions,2026-05-14
2026-05-18T05:09:51-07:00,bull,乐观,20.6,14.0,311.47200000000004,1000.0,35.0,273.0,0.9,245.70000000000002,557.172,4.22,132.0312796208531,48.68,171.22284227784118,manual_initial_assumptions,2026-05-14
2026-05-19T05:57:51-07:00,bear,熊市,20.6,9.0,200.23200000000003,300.0,15.0,35.1,0.75,26.325000000000003,226.55700000000002,4.22,53.68649289099527,48.88,9.833250595325826,manual_initial_assumptions,2026-05-14
2026-05-19T05:57:51-07:00,base,基准,20.6,11.0,244.72800000000004,500.0,25.0,97.5,0.85,82.875,327.60300000000007,4.22,77.63104265402846,48.88,58.81964536421533,manual_initial_assumptions,2026-05-14
2026-05-19T05:57:51-07:00,bull,乐观,20.6,14.0,311.47200000000004,1000.0,35.0,273.0,0.9,245.70000000000002,557.172,4.22,132.0312796208531,48.88,170.11309251402022,manual_initial_assumptions,2026-05-14
2026-05-19T05:59:24-07:00,bear,熊市,20.6,9.0,200.23200000000003,300.0,15.0,35.1,0.75,26.325000000000003,226.55700000000002,4.22,53.68649289099527,48.88,9.833250595325826,manual_initial_assumptions,2026-05-14
2026-05-19T05:59:24-07:00,base,基准,20.6,11.0,244.72800000000004,500.0,25.0,97.5,0.85,82.875,327.60300000000007,4.22,77.63104265402846,48.88,58.81964536421533,manual_initial_assumptions,2026-05-14
2026-05-19T05:59:24-07:00,bull,乐观,20.6,14.0,311.47200000000004,1000.0,35.0,273.0,0.9,245.70000000000002,557.172,4.22,132.0312796208531,48.88,170.11309251402022,manual_initial_assumptions,2026-05-14
2026-05-20T06:09:12-07:00,bear,熊市,20.6,9.0,200.23200000000003,300.0,15.0,35.1,0.75,26.325000000000003,226.55700000000002,4.22,53.68649289099527,47.68,12.597510257959875,manual_initial_assumptions,2026-05-14
2026-05-20T06:09:12-07:00,base,基准,20.6,11.0,244.72800000000004,500.0,25.0,97.5,0.85,82.875,327.60300000000007,4.22,77.63104265402846,47.68,62.81678408982481,manual_initial_assumptions,2026-05-14
2026-05-20T06:09:12-07:00,bull,乐观,20.6,14.0,311.47200000000004,1000.0,35.0,273.0,0.9,245.70000000000002,557.172,4.22,132.0312796208531,47.68,176.9112408155476,manual_initial_assumptions,2026-05-14
2026-05-20T06:09:51-07:00,bear,熊市,20.6,9.0,200.23200000000003,300.0,15.0,35.1,0.75,26.325000000000003,226.55700000000002,4.22,53.68649289099527,47.68,12.597510257959875,manual_initial_assumptions,2026-05-14
2026-05-20T06:09:51-07:00,base,基准,20.6,11.0,244.72800000000004,500.0,25.0,97.5,0.85,82.875,327.60300000000007,4.22,77.63104265402846,47.68,62.81678408982481,manual_initial_assumptions,2026-05-14
2026-05-20T06:09:51-07:00,bull,乐观,20.6,14.0,311.47200000000004,1000.0,35.0,273.0,0.9,245.70000000000002,557.172,4.22,132.0312796208531,47.68,176.9112408155476,manual_initial_assumptions,2026-05-14
2026-05-20T06:09:53-07:00,bear,熊市,20.6,9.0,200.23200000000003,300.0,15.0,35.1,0.75,26.325000000000003,226.55700000000002,4.22,53.68649289099527,47.68,12.597510257959875,manual_initial_assumptions,2026-05-14
2026-05-20T06:09:53-07:00,base,基准,20.6,11.0,244.72800000000004,500.0,25.0,97.5,0.85,82.875,327.60300000000007,4.22,77.63104265402846,47.68,62.81678408982481,manual_initial_assumptions,2026-05-14
2026-05-20T06:09:53-07:00,bull,乐观,20.6,14.0,311.47200000000004,1000.0,35.0,273.0,0.9,245.70000000000002,557.172,4.22,132.0312796208531,47.68,176.9112408155476,manual_initial_assumptions,2026-05-14
2026-05-20T06:12:20-07:00,bear,熊市,20.6,9.0,200.23200000000003,300.0,15.0,35.1,0.75,26.325000000000003,226.55700000000002,4.22,53.68649289099527,47.68,12.597510257959875,manual_initial_assumptions,2026-05-14
2026-05-20T06:12:20-07:00,base,基准,20.6,11.0,244.72800000000004,500.0,25.0,97.5,0.85,82.875,327.60300000000007,4.22,77.63104265402846,47.68,62.81678408982481,manual_initial_assumptions,2026-05-14
2026-05-20T06:12:20-07:00,bull,乐观,20.6,14.0,311.47200000000004,1000.0,35.0,273.0,0.9,245.70000000000002,557.172,4.22,132.0312796208531,47.68,176.9112408155476,manual_initial_assumptions,2026-05-14
2026-05-21T07:39:29-07:00,bear,熊市,20.6,9.0,200.23200000000003,300.0,15.0,35.1,0.75,26.325000000000003,226.55700000000002,4.22,53.68649289099527,44.98,19.35636480879339,manual_initial_assumptions,2026-05-14
2026-05-21T07:39:29-07:00,base,基准,20.6,11.0,244.72800000000004,500.0,25.0,97.5,0.85,82.875,327.60300000000007,4.22,77.63104265402846,44.98,72.59013484666177,manual_initial_assumptions,2026-05-14
2026-05-21T07:39:29-07:00,bull,乐观,20.6,14.0,311.47200000000004,1000.0,35.0,273.0,0.9,245.70000000000002,557.172,4.22,132.0312796208531,44.98,193.53330284760582,manual_initial_assumptions,2026-05-14
2026-05-23T20:38:24-07:00,bear,熊市,20.6,9.0,200.23200000000003,300.0,15.0,35.1,0.75,26.325000000000003,226.55700000000002,4.22,53.68649289099527,45.64,17.63035252190024,manual_initial_assumptions,2026-05-14
2026-05-23T20:38:24-07:00,base,基准,20.6,11.0,244.72800000000004,500.0,25.0,97.5,0.85,82.875,327.60300000000007,4.22,77.63104265402846,45.64,70.09430905790637,manual_initial_assumptions,2026-05-14
2026-05-23T20:38:24-07:00,bull,乐观,20.6,14.0,311.47200000000004,1000.0,35.0,273.0,0.9,245.70000000000002,557.172,4.22,132.0312796208531,45.64,189.28851801238628,manual_initial_assumptions,2026-05-14
